ID	SL	TL	BC_SL	BC_TL	temp	origin	F1_diet	sex	weight	family	sample_type	Comments
AS02682	4.710	5.237	9.57056E-10	6.96229E-10	warm	cs	cl	f	1.00	8	cross	
AS02683	4.585	5.223	1.03749E-09	7.01843E-10	warm	cs	bw	m	1.00	18	cross	
AS02684	4.745	5.342	1.06708E-09	7.47813E-10	warm	cs	bw	f	1.14	18	cross	
AS02685	4.838	5.428	1.11269E-09	7.87864E-10	warm	hs	bw	m	1.26	22	cross	
AS02686	5.399	6.023	9.65836E-10	6.95673E-10	warm	hs	bw	f	1.52	22	cross	poor egg quality
AS02688	4.425	4.980	1.0849E-09	7.61097E-10	warm	cs	bw	f	0.94	8	cross	
AS02689	4.710	5.380	1.06233E-09	7.12814E-10	warm	hs	cl	m	1.11	20	cross	
AS02691	5.253	5.866	9.45145E-10	6.78726E-10	warm	hs	cl	f	1.37	33	cross	
AS02693	4.567	5.167	1.20727E-09	8.33648E-10	warm	cs	bw	m	1.15	2	cross	
AS02694	4.982	5.613	9.62356E-10	6.72918E-10	warm	cs	bw	f	1.19	7	cross	
AS02695	5.100	5.780	1.04786E-09	7.19832E-10	warm	cs	bw	f	1.39	7	cross	
AS02696	4.590	5.194	1.25126E-09	8.63534E-10	warm	cs	bw	m	1.21	13	cross	
AS02697	5.021	5.696	1.15341E-09	7.90029E-10	warm	cs	bw	f	1.46	13	cross	poor egg quality
AS02700	4.202	4.764	1.13217E-09	7.76898E-10	warm	cs	cl	m	0.84	14	morph	
AS02705	4.161	4.742	1.22149E-09	8.25274E-10	warm	hs	cl	m	0.88	23	morph	
AS02720	4.623	5.184	1.11332E-09	7.89583E-10	warm	cs	cl	f	1.10	2	morph	
AS02720	4.636	5.200	1.10398E-09	7.82317E-10	warm	cs	cl	f	1.10	2	morph	
AS02774	4.127	4.607	9.95852E-10	7.15885E-10	warm	hs	bw	f	0.70	22	morph	
AS02775	4.523	5.127	1.01589E-09	6.9749E-10	warm	hs	bw	m	0.94	22	morph	
AS02776	4.272	4.853	1.03894E-09	7.08686E-10	warm	hs	bw	m	0.81	22	morph	
AS02777	4.929	5.540	1.11064E-09	7.82208E-10	warm	hs	bw	f	1.33	22	morph	gravid
AS02778	5.053	5.657	1.05412E-09	7.51243E-10	warm	hs	bw	f	1.36	22	morph	very pale
AS02779	4.296	4.887	1.23604E-09	8.39651E-10	warm	cs	cl	m	0.98	3	morph	
AS02780	4.171	4.657	1.10248E-09	7.92084E-10	warm	cs	cl	f	0.80	3	morph	
AS02781	4.205	4.758	1.0356E-09	7.14854E-10	warm	hs	cl	f	0.77	11	morph	
AS02782	3.804	4.383	1.16268E-09	7.60091E-10	warm	hs	cl	m	0.64	11	morph	
AS02785	4.252	4.791	1.06668E-09	7.45651E-10	warm	cs	cl	m	0.82	27	morph	
AS02786	4.049	4.584	1.22023E-09	8.40913E-10	warm	cs	cl	m	0.81	27	morph	
AS02787	4.472	5.073	9.72778E-10	6.66384E-10	warm	cs	cl	f	0.87	27	morph	
AS02788	4.621	5.177	1.07423E-09	7.63961E-10	warm	cs	cl	m	1.06	27	morph	
AS02789	4.914	5.531	8.34314E-10	5.85092E-10	warm	hs	cl	f	0.99	22	morph	
AS02791	5.075	5.739	8.03306E-10	5.55496E-10	warm	hs	cl	f	1.05	22	morph	
AS02794	5.277	5.918	8.37035E-10	5.93445E-10	warm	hs	cl	f	1.23	22	morph	
AS02796	4.652	5.220	9.73435E-10	6.88993E-10	warm	cs	cl	f	0.98	17	morph	
AS02800	3.936	4.487	1.19717E-09	8.08081E-10	warm	cs	cl	f	0.73	17	morph	
AS02802	4.981	4.423	7.12087E-10	1.01703E-09	warm	cs	cl	m	0.88	17	morph	
AS02808	3.660	4.158	1.24419E-09	8.48548E-10	warm	cs	cl	f	0.61	17	morph	
AS02814	4.957	5.592	1.17403E-09	8.17776E-10	warm	cs	bw	f	1.43	3	basic	
AS02815	4.507	5.091	1.19059E-09	8.26071E-10	warm	cs	bw	f	1.09	3	basic	
AS02816	4.043	4.601	1.05922E-09	7.1869E-10	warm	cs	cl	f	0.70	25	basic	
AS02817	4.045	4.624	1.19363E-09	7.99049E-10	warm	cs	cl	f	0.79	25	basic	
AS02818	5.021	5.740	1.35091E-09	9.04192E-10	warm	cs	bw	m	1.71	25	basic	
AS02820	4.901	5.575	1.09581E-09	7.44484E-10	warm	cs	bw	f	1.29	25	basic	
AS02825	4.247	4.858	1.26627E-09	8.46056E-10	warm	cs	cl	f	0.97	5	basic	
AS02827	4.213	4.765	1.29717E-09	8.96568E-10	warm	cs	cl	f	0.97	5	basic	
AS02831	4.928	5.586	1.19488E-09	8.20414E-10	warm	cs	bw	f	1.43	13	basic	
AS02835	4.304	4.903	1.06611E-09	7.21163E-10	warm	cs	cl	m	0.85	13	basic	no nuptial colour
AS02836	4.615	5.253	1.09877E-09	7.45078E-10	warm	cs	cl	f	1.08	13	basic	
AS02839	4.078	4.692	1.20913E-09	7.93853E-10	warm	cs	cl	m	0.82	13	basic	no nuptial colour
AS02849	4.034	4.569	1.05109E-09	7.23412E-10	warm	hs	cl	m	0.69	20	basic	
AS02854	4.183	4.750	1.5029E-09	1.02639E-09	warm	hs	cl	f	1.10	20	basic	
AS02858	4.495	5.079	1.00196E-09	6.94555E-10	warm	hs	cl	f	0.91	21	basic	
AS02863	4.865	5.490	1.05084E-09	7.31254E-10	warm	hs	bw	f	1.21	9	basic	
AS02864	4.628	5.222	1.15007E-09	8.00561E-10	warm	hs	bw	m	1.14	9	basic	
AS02865	4.943	5.535	1.19231E-09	8.49199E-10	warm	hs	bw	f	1.44	9	basic	
AS02877	4.628	5.193	1.06936E-09	7.56922E-10	warm	cs	bw	f	1.06	27	basic	
AS02879	4.196	4.735	1.05582E-09	7.34742E-10	warm	cs	bw	f	0.78	27	basic	
AS02883	4.094	4.661	1.09299E-09	7.40669E-10	warm	cs	cl	m	0.75	2	basic	
AS02887	4.163	4.786	1.16429E-09	7.66234E-10	warm	cs	cl	m	0.84	2	basic	
AS02889	5.033	5.651	1.16871E-09	8.25677E-10	warm	hs	bw	f	1.49	21	basic	
AS02890	4.300	4.913	1.2326E-09	8.26391E-10	warm	hs	bw	m	0.98	21	basic	
